id_provincia_indec,fecha,puestos,masa
10.0,2021-02-01,90829.0,5617905309.0
10.0,2021-03-01,90312.0,8649153550.0
10.0,2021-04-01,90182.0,6184687311.0
10.0,2021-05-01,90208.0,6319447039.0
10.0,2021-06-01,90131.0,9548675111.0
10.0,2021-07-01,91272.0,6661074196.0
10.0,2021-08-01,91729.0,7098173649.0
10.0,2021-09-01,92292.0,7254991881.0
10.0,2021-10-01,92624.0,7690445922.0
10.0,2021-11-01,93461.0,8065856472.0
10.0,2021-12-01,93339.0,12223481977.0
10.0,2022-01-01,93358.0,8631622816.0
10.0,2022-02-01,94561.0,8672587886.0
10.0,2022-03-01,95503.0,9655362552.0
10.0,2022-04-01,95385.0,9793241946.0
10.0,2022-05-01,95358.0,10584133249.0
10.0,2022-06-01,96134.0,16259596680.0
10.0,2022-07-01,96389.0,12083600121.0
10.0,2022-08-01,96687.0,12598951463.0
10.0,2022-09-01,97252.0,14091974387.0
10.0,2022-10-01,97866.0,14839048910.0
10.0,2022-11-01,98901.0,16210247437.0
14.0,2014-01-01,734241.0,7124211338.0
14.0,2014-02-01,724404.0,6929760361.0
14.0,2014-03-01,667011.0,6577520343.0
14.0,2014-04-01,720837.0,7501477134.0
14.0,2014-05-01,720791.0,7571493357.0
14.0,2014-06-01,720860.0,11109260676.0
14.0,2014-07-01,721808.0,8010002890.0
14.0,2014-08-01,722011.0,8084806567.0
14.0,2014-09-01,724515.0,8313612564.0
14.0,2014-10-01,727185.0,8529978222.0
14.0,2014-11-01,730976.0,8763401383.0
14.0,2014-12-01,733143.0,13206268199.0
14.0,2015-01-01,737914.0,9567392607.0
14.0,2015-02-01,734677.0,9544844438.0
14.0,2015-03-01,731182.0,9586263628.0
14.0,2015-04-01,734296.0,9889425585.0
14.0,2015-05-01,735831.0,10162508355.0
14.0,2015-06-01,737640.0,15463482332.0
14.0,2015-07-01,740629.0,11165538312.0
14.0,2015-08-01,741464.0,11103513526.0
14.0,2015-09-01,743100.0,11387776648.0
14.0,2015-10-01,747306.0,11442200295.0
14.0,2015-11-01,748649.0,11798697776.0
14.0,2015-12-01,749402.0,17683202722.0
14.0,2016-01-01,749701.0,12903450446.0
14.0,2016-02-01,743775.0,12348423065.0
14.0,2016-03-01,746642.0,13512748543.0
14.0,2016-04-01,743453.0,13544302012.0
14.0,2016-05-01,744631.0,14024295624.0
14.0,2016-06-01,741589.0,20284866908.0
14.0,2016-07-01,740971.0,14534105640.0
14.0,2016-08-01,743402.0,14907157694.0
14.0,2016-09-01,743523.0,15014739787.0
14.0,2016-10-01,744753.0,15430457736.0
14.0,2016-11-01,747624.0,15918861748.0
14.0,2016-12-01,749658.0,23853441897.0
14.0,2017-01-01,752486.0,17772259439.0
14.0,2017-02-01,742818.0,16429629658.0
14.0,2017-03-01,744211.0,17303731152.0
14.0,2017-04-01,744399.0,18265226190.0
14.0,2017-05-01,745353.0,18138186134.0
14.0,2017-06-01,745282.0,26677474471.0
14.0,2017-07-01,747992.0,19333608587.0
14.0,2017-08-01,750750.0,19438548948.0
14.0,2017-09-01,750816.0,19277961297.0
14.0,2017-10-01,757066.0,19927680164.0
14.0,2017-11-01,759170.0,20162396145.0
14.0,2017-12-01,761530.0,30335926613.0
14.0,2018-01-01,765284.0,22554698397.0
14.0,2018-02-01,755124.0,20969464167.0
14.0,2018-03-01,759612.0,21861459167.0
14.0,2018-04-01,757148.0,22255427505.0
14.0,2018-05-01,756010.0,22765230982.0
14.0,2018-06-01,753962.0,33069612160.0
14.0,2018-07-01,752650.0,23640905529.0
14.0,2018-08-01,752709.0,24028478137.0
14.0,2018-09-01,749031.0,24245449718.0
14.0,2018-10-01,750700.0,26055199740.0
14.0,2018-11-01,749392.0,26883430543.0
14.0,2018-12-01,747411.0,40528997778.0
14.0,2019-01-01,739304.0,28214067987.0
14.0,2019-02-01,741382.0,28220606219.0
14.0,2019-03-01,741606.0,30175016443.0
14.0,2019-04-01,737322.0,30757380776.0
14.0,2019-05-01,737780.0,31596449959.0
14.0,2019-06-01,734772.0,45889774111.0
14.0,2019-07-01,733406.0,33230557505.0
14.0,2019-08-01,734357.0,34129179063.0
14.0,2019-09-01,730411.0,34765757899.0
14.0,2019-10-01,732590.0,37565938279.0
14.0,2019-11-01,732499.0,37682428512.0
14.0,2019-12-01,732192.0,56075466191.0
14.0,2020-01-01,732423.0,42719170140.0
14.0,2020-02-01,724891.0,41339689950.0
